Inventory ID,Inventory Description,Warehouse,Warehouse Location,Qty. Hard Available,Vendor SKU,Barcode,Supplier ID,Supplier,Brands,Item Class,Item Class Description,AES Retail Price,Volume,Weight
AGWA1L,Fresh Air Kit for Wood-Burning Stove on Legs,30,Denver DC,4.00,WA1L,720968961334,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,"2,565.00",9.00
AGWA1L,Fresh Air Kit for Wood-Burning Stove on Legs,50,Dallas DC,12.00,WA1L,720968961334,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,"2,565.00",9.00
AGWA1L,Fresh Air Kit for Wood-Burning Stove on Legs,10,Kent DC,26.00,WA1L,720968961334,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,"2,565.00",9.00
AGWA1L,Fresh Air Kit for Wood-Burning Stove on Legs,20,Sacramento DC,15.00,WA1L,720968961334,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,"2,565.00",9.00
AGWA2L,Fresh Air Kit for Wood-Burning Stove on Legs,30,Denver DC,6.00,WA2L,720968961327,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,0.00,10.00
AGWA2L,Fresh Air Kit for Wood-Burning Stove on Legs,10,Kent DC,27.00,WA2L,720968961327,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,0.00,10.00
AGWA2L,Fresh Air Kit for Wood-Burning Stove on Legs,50,Dallas DC,11.00,WA2L,720968961327,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,0.00,10.00
AGWA2L,Fresh Air Kit for Wood-Burning Stove on Legs,20,Sacramento DC,15.00,WA2L,720968961327,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,0.00,10.00
AGWA4FP,"Fresh Air Kit for fireplace, 5""",40,Rogers DC,12.00,WA4FP,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,199.00,0.00,3.00
AGWA5FP,"Fresh Air Kit for Fireplace, 5""",40,Rogers DC,2.00,WA5FP,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,199.00,0.00,3.00
AGWA5IN,Fresh Air Kit for Wood-Burning Insert,20,Sacramento DC,10.00,WA5IN,720968961358,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,81.00,0.43,2.00
AGWA5IN,Fresh Air Kit for Wood-Burning Insert,50,Dallas DC,24.00,WA5IN,720968961358,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,81.00,0.43,2.00
AGWA5IN,Fresh Air Kit for Wood-Burning Insert,10,Kent DC,65.00,WA5IN,720968961358,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,81.00,0.43,2.00
AGWA5IN,Fresh Air Kit for Wood-Burning Insert,30,Denver DC,12.00,WA5IN,720968961358,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,81.00,0.43,2.00
AGWA5PD,Fresh Air Kit for Wood-Burning Stove on Pedestal,30,Denver DC,10.00,WA5PD,720968961341,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,119.00,0.56,2.50
AGWA5PD,Fresh Air Kit for Wood-Burning Stove on Pedestal,10,Kent DC,14.00,WA5PD,720968961341,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,119.00,0.56,2.50
AGWA5PD,Fresh Air Kit for Wood-Burning Stove on Pedestal,50,Dallas DC,61.00,WA5PD,720968961341,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,119.00,0.56,2.50
AGWA5PD,Fresh Air Kit for Wood-Burning Stove on Pedestal,20,Sacramento DC,30.00,WA5PD,720968961341,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,119.00,0.56,2.50
AGWA5PD,Fresh Air Kit for Wood-Burning Stove on Pedestal,40,Rogers DC,1.00,WA5PD,720968961341,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,119.00,0.56,2.50
AGWB17FS,"NRP - Gateway 1700 Wood-Burning Stove, 1.9 cu.ft., Metallic Black",30,Denver DC,6.00,WB17FS,720968961723,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,009.00",11.75,318.00
AGWB17FS,"NRP - Gateway 1700 Wood-Burning Stove, 1.9 cu.ft., Metallic Black",20,Sacramento DC,12.00,WB17FS,720968961723,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,009.00",11.75,318.00
AGWB17FS,"NRP - Gateway 1700 Wood-Burning Stove, 1.9 cu.ft., Metallic Black",40,Rogers DC,2.00,WB17FS,720968961723,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,009.00",11.75,318.00
AGWB17FS,"NRP - Gateway 1700 Wood-Burning Stove, 1.9 cu.ft., Metallic Black",10,Kent DC,13.00,WB17FS,720968961723,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,009.00",11.75,318.00
AGWB17FS,"NRP - Gateway 1700 Wood-Burning Stove, 1.9 cu.ft., Metallic Black",50,Dallas DC,8.00,WB17FS,720968961723,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,009.00",11.75,318.00
AGWB17IN,"NRP -  Archway 1700 Wood-Burning Insert with Blower, 1.9 cu.ft., Metallic Black",30,Denver DC,4.00,WB17IN,720968961693,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,689.00",12.90,374.00
AGWB17IN,"NRP -  Archway 1700 Wood-Burning Insert with Blower, 1.9 cu.ft., Metallic Black",50,Dallas DC,1.00,WB17IN,720968961693,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,689.00",12.90,374.00
AGWB17IN,"NRP -  Archway 1700 Wood-Burning Insert with Blower, 1.9 cu.ft., Metallic Black",20,Sacramento DC,5.00,WB17IN,720968961693,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,689.00",12.90,374.00
AGWB1V,BLOWER ASSEMBLY WITH VARIABLE SPEED CONTROL (UP TO 130 CFM),20,Sacramento DC,39.00,WB1V,720968961303,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,319.00,0.38,7.00
AGWB1V,BLOWER ASSEMBLY WITH VARIABLE SPEED CONTROL (UP TO 130 CFM),40,Rogers DC,2.00,WB1V,720968961303,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,319.00,0.38,7.00
AGWB1V,BLOWER ASSEMBLY WITH VARIABLE SPEED CONTROL (UP TO 130 CFM),30,Denver DC,20.00,WB1V,720968961303,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,319.00,0.38,7.00
AGWB1V,BLOWER ASSEMBLY WITH VARIABLE SPEED CONTROL (UP TO 130 CFM),50,Dallas DC,55.00,WB1V,720968961303,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,319.00,0.38,7.00
AGWB1V,BLOWER ASSEMBLY WITH VARIABLE SPEED CONTROL (UP TO 130 CFM),10,Kent DC,20.00,WB1V,720968961303,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,319.00,0.38,7.00
AGWB23FS,"NRP - Gateway 2300 Wood-Burning Stove, 2.4 cu.ft., Metallic Black",50,Dallas DC,2.00,WB23FS,720968961716,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,729.00",0.00,376.00
AGWB23FS,"NRP - Gateway 2300 Wood-Burning Stove, 2.4 cu.ft., Metallic Black",40,Rogers DC,2.00,WB23FS,720968961716,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,729.00",0.00,376.00
AGWB23FS,"NRP - Gateway 2300 Wood-Burning Stove, 2.4 cu.ft., Metallic Black",30,Denver DC,5.00,WB23FS,720968961716,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,729.00",0.00,376.00
AGWB23FS,"NRP - Gateway 2300 Wood-Burning Stove, 2.4 cu.ft., Metallic Black",20,Sacramento DC,10.00,WB23FS,720968961716,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,729.00",0.00,376.00
AGWB23FS,"NRP - Gateway 2300 Wood-Burning Stove, 2.4 cu.ft., Metallic Black",10,Kent DC,2.00,WB23FS,720968961716,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"2,729.00",0.00,376.00
AGWB23IN,"NRP -  Archway 2300 Wood-Burning Insert with Blower, 2.4 cu.ft., Metallic Black",30,Denver DC,2.00,WB23IN,720968961686,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"3,109.00",0.00,439.00
AGWB23IN,"NRP -  Archway 2300 Wood-Burning Insert with Blower, 2.4 cu.ft., Metallic Black",20,Sacramento DC,7.00,WB23IN,720968961686,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"3,109.00",0.00,439.00
AGWB23IN,"NRP -  Archway 2300 Wood-Burning Insert with Blower, 2.4 cu.ft., Metallic Black",40,Rogers DC,2.00,WB23IN,720968961686,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"3,109.00",0.00,439.00
AGWB23IN,"NRP -  Archway 2300 Wood-Burning Insert with Blower, 2.4 cu.ft., Metallic Black",50,Dallas DC,4.00,WB23IN,720968961686,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"3,109.00",0.00,439.00
AGWB2FA,Forced Air Distribution Kit,40,Rogers DC,6.00,WB2FA,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,719.00,0.00,18.00
AGWB2FA,Forced Air Distribution Kit,10,Kent DC,1.00,WB2FA,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,719.00,0.00,18.00
AGWB2G,Gravity Air Circulation Kit,40,Rogers DC,6.00,WB2G,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,459.00,0.00,12.00
AGWB2WG,Gravity Air Circulation Kit,10,Kent DC,1.00,WB2WG,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,344.00,0.00,18.00
AGWB30FP,"St. Clair Fireplace with Blower, 3.0 cu.ft., Metallic Black 3.0 cu. ft. Firebox 38"" H, 36 1/2"" W, 56"" D Max Heat Output 80,000 BTU/H",40,Rogers DC,7.00,WB30FP,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"4,499.00",0.00,575.00
AGWB35FS,"NRP - Gateway 3500 Wood-Burning Stove, 3.5 cu.ft., Metallic Black",20,Sacramento DC,9.00,WB35FS,720968961709,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"3,119.00",0.00,466.00
