Warning: Null value is eliminated by an aggregate or other SET operation.
Preferred Vendor,Supplier SKU,Manufacturer SKU,AZ In Stock,TX In Stock,Your Cost,% Discount,MSRP,Supplier Description,Avg Lead Time,Next Available Date,Next Available Quantity
GAS,1212SCWH,ED-2002,.000000,.000000,45.0000000000000,40.000,75.000000,12 x 12 ACCESS PANEL (STEEL DOOR),7,NULL,NULL
Summerset,​DRIP-SIZ40,​DRIP-SIZ40,1.000000,.000000,83.0000000000000,50.000,166.000000,DRIP TRAY FOR SIZ40,2,NULL,NULL
Summerset,10058,10058,.000000,.000000,38.9300000000000,50.000,77.860000,DRAWER GLIDES (DC2-33 QTY 2 INCLUDED),10,NULL,NULL
Summerset,10129,10129,.000000,.000000,33.5000000000000,50.000,67.000000,POWER SOURCE WIRE,NULL,NULL,NULL
Summerset,10134-B,10134-B,.000000,.000000,25.8700000000000,50.000,51.740000,"LED Light Switch, OLD MODEL w/ BLUE PLUG, 2pcs",NULL,NULL,NULL
Summerset,10139,10139,1.000000,.000000,12.5000000000000,50.000,25.000000,LED WIRE HARNESS AMG54,2,NULL,NULL
Summerset,10185,10185,1.000000,.000000,21.7150000000000,50.000,43.430000,"SLIDING SIDE TRACKS, SET OF 2 FOR SSTD2-20",2,NULL,NULL
Summerset,10254-B,10254-B,90.000000,.000000,8.0000000000000,50.000,16.000000,#304 Stainless Steel Handle with screws (2024 Handle),2,NULL,NULL
Summerset,10280,10280,.000000,.000000,38.4800000000000,50.000,76.960000,UTUBE BURNER FOR SBG30 NO CROSSOVER,45,NULL,NULL
Summerset,11212,11212,.000000,.000000,63.1400000000000,50.000,126.280000,"DRIP TRAY FOR 30"" GRIDDLE",NULL,NULL,NULL
American Made Grill,16612,16612,.000000,.000000,22.8000000000000,43.000,40.000000,LED PUSH BUTTON FOR AMG 36 GRILL,NULL,NULL,NULL
Summerset,31916,31916,.000000,.000000,.0000000000000,50.000,.000000,LED BRACKET AMG54,NULL,NULL,NULL
Summerset,ALT MOD-LG,ALT MOD-LG,.000000,.000000,21.7650000000000,50.000,43.530000,ALTURI STARTER MODULE LARGE,NULL,NULL,NULL
Summerset,ALT MOD-SM,ALT MOD-SM,.000000,.000000,17.2950000000000,50.000,34.590000,Alturi Starter Module - Small,NULL,NULL,NULL
Summerset,ALT30-HTK,ALT30-HTK,1.000000,.000000,112.4950000000000,50.000,224.990000,"Handle, Teak - fits ALT30 Hood",2,NULL,NULL
Summerset,ALT30T-NG,ALT30T-NG,.000000,.000000,2890.0000000000000,50.000,5780.000000,"Summerset Alturi 30"" Built-In 2 Burner Grill with Stainless Steel Burners and Rotisserie, Natural Gas (ALT30T-NG)",NULL,NULL,NULL
Summerset,ALT36-HTK,ALT36-HTK,.000000,.000000,118.7450000000000,50.000,237.490000,"Handle, Teak - fits ALT36 Hood",NULL,NULL,NULL
Summerset,ALT36R-NG,ALT36R-NG,1.000000,.000000,3352.4950000000000,50.000,6704.990000,"****  WHILE SUPPLIES LAST REPLACED BY EST36-NG  **** Alturi Grill, 36"" NG - Built-in with Red Brass",2,NULL,NULL
Summerset,ALT36T-LP,ALT36T-LP,.000000,.000000,3650.0000000000000,50.000,7300.000000,"Alturi Grill, 36"" LP - Built-in with Stainless",NULL,NULL,NULL
Summerset,ALT36T-NG,ALT36T-NG,.000000,.000000,3650.0000000000000,50.000,7300.000000,"Alturi Grill, 36"" NG - Built-in with Stainless",11,NULL,NULL
Summerset,ALT42-HTK,ALT42-HTK,.000000,.000000,124.9950000000000,50.000,249.990000,"Handle, Teak - fits ALT42 Hood",NULL,NULL,NULL
Summerset,ALT42T-LP,ALT42T-LP,.000000,.000000,4085.0000000000000,50.000,8170.000000,"Alturi Grill, 42"" LP - Built-in with Stainless Steel Main Burners",22,NULL,NULL
Summerset,ALT42T-NG,ALT42T-NG,.000000,.000000,4085.0000000000000,50.000,8170.000000,"Alturi Grill, 42"" NG - Built-in with Stainless",16,NULL,NULL
Summerset,ALTC42,ALTC42,.000000,.000000,74.0000000000000,50.000,148.000000,ALTURI 42 COVER BUILT-IN,NULL,NULL,NULL
Summerset,ALTDD-30,ALTDD-30,1.000000,.000000,280.0000000000000,50.000,560.000000,ALTURI 30 DOUBLE DOORS,2,NULL,NULL
Summerset,ALTPB2-LP,ALTPB2-LP,.000000,.000000,1460.0000000000000,50.000,2920.000000,Alturi Power Burner Liquid Propane,38,NULL,NULL
Summerset,ALTPB2-NG,ALTPB2-NG,.000000,.000000,1460.0000000000000,50.000,2920.000000,Alturi Power Burner Natural Gas,10,NULL,NULL
Summerset,ALT-RBB,ALT-RBB,.000000,.000000,318.8900000000000,50.000,637.780000,ALTURI RED BRASS BURNER,22,NULL,NULL
Summerset,ALTSS-NG,ALTSS-NG,.000000,.000000,892.5000000000000,50.000,1785.000000,ALT Sear with LED Illumination,22,NULL,NULL
American Made Grill,AMG-BIC,AMG-BIC,.000000,.000000,855.0000000000000,43.000,1500.000000,CATALINA 6' BBQ ISLAND,NULL,NULL,NULL
Summerset,AMG-BRNCOV,AMG-BRNCOV,.000000,.000000,40.0000000000000,50.000,80.000000,AMG BRURNER COVER,NULL,NULL,NULL
American Made Grill,AMG-BZL-KB,AMG-BZL-KB,3.000000,.000000,11.4000000000000,43.000,20.000000,Knob Bezel for AMG,2,NULL,NULL
