LG,"Part #",Description,Quantity
Warehouse,13338-LP,"Holder, orifice, Burner assembly",1
Warehouse,17CTCAD-25D-CV,"Caddy Countertop Kit for 25"" Deep Countertops-Copper Vein",2
Warehouse,17CTCAD-25D-SV,"Caddy Countertop Kit for 25"" Deep Countertops- Silver Vein",2
Warehouse,17CTCAD-31D-CV,"Caddy Countertop Kit for 31"" Deep Countertops-Copper Vein",3
Warehouse,17CTCAD-31D-SV,"Caddy Countertop Kit for 31"" Deep Countertops-Silver Vein",2
Warehouse,"17STCT-25D-Copper Vein","Stationary Countertop Kit - 25"" Depth-Copper Vein",3
Warehouse,"17STCT-25D-Silver Vein","Stationary Countertop Kit - 25"" Depth-Silver Vein",2
Warehouse,"17STCT-31D-Copper Vein","Stationary Countertop Kit - 31"" Depth-Copper Vein",2
Warehouse,"17STCT-31D-Silver Vein","Stationary Countertop Kit - 31"" Depth-Silver Vein",2
Warehouse,334669,"20# SPT BZO TYPE 1 OPD TRILING / SLV 60",596
Warehouse,4490030068,"2023 Wine Coolers Collection Brochure (200/Carton)",1800
Warehouse,4490030215,"Dometic Outdoor Refrigeration Brochure",149
Warehouse,4490030264,"2024 Twin Eagles Collection Brochures (75 per box)",0
Warehouse,4490030265,"2024 Delta Heat Collection Brochures (125/Carton)",0
Warehouse,4490050048,"Mobar Brochure (Carton) (150MP)",299
Warehouse,55005,"PRO Silicone Basting Brush with Stainless Steel Handle",10
Warehouse,55011,"PRO Stainless Steel Easy Locking Tongs",11
Warehouse,55015,"Stainless Steel Auto Locking Tongs (BUY IN MULTIPLES OF 12)",121
Warehouse,55028,"Stainless Steel Marinade Injector (BUY IN MULTIPLES OF 12)",61
Warehouse,55217,"PRO PIZZA CUTTER",15
Warehouse,56008,"Cast Iron Sizzle Platter (BUY IN MULTIPLES OF 6)",26
Warehouse,56012,"Expandable Rib Holder",19
Warehouse,56019,"3 in 1 Roasting Rack (BUY IN MULTIPLES OF 6)",13
Warehouse,56027,"Stainless Steel Grilling Wok (BUY IN MULTIPLES OF 6)",27
Warehouse,56032,"Chicken Leg Rack/Topper, Folding (BUY IN MULTIPLES OF 6)",16
Warehouse,56034,"Chicken Roaster, Stainless Steel",8
Warehouse,56041,"2-Sided Porcelain-Enameled Cast-Iron Griddle fits 485, 500, 605, 730 (Replaces 56040)",0
Warehouse,56066,"14""(35.5CM) Stainless Steel Pizza Pan (BUY IN MULTIPLES OF 6)",19
Warehouse,56080,"Cast Iron Reversible Griddle for all TravelQ, 285 Series- MP4",1
Warehouse,"56081 (avail March 2023)","Cast Iron Griddle for Small Sizzle Zone",0
Warehouse,56082,"Cast Iron Griddle for Large Sizzle Zone",24
Warehouse,56425,"Cast Iron Reversible Griddle for Rogue 425 and Freestyle Grills - MP4",0
