PGPGRP,CTPPGD,PGPRDC,PGDESC,TOTAV01
4103 ,Majestic Units                ,ASH36                              ,"36"" RADIANT WOOD FPLC ASHLAND ",4.00                     
4103 ,Majestic Units                ,ASH42                              ,"42"" RADIANT WOOD FPLC ASHLAND ",7.00                     
4103 ,Majestic Units                ,ASH50                              ,"50"" RADIANT WOOD FPLC*********",3.00                     
4103 ,Majestic Units                ,BE36                               ,"36"" RADIANT WOOD FPLC ROYALT  ",7.00                     
4103 ,Majestic Units                ,BE42                               ,"42"" RADIANT WOOD FPLC ROYALTON",3.00                     
4103 ,Majestic Units                ,DSR42                              ,"42"" S/T RADIANT WOOD FPLC     ",.00                      
4103 ,Majestic Units                ,DSVILLA36                          ,"36"" SS SCREEN DOORS           ",.00                      
4103 ,Majestic Units                ,DSVILLA42                          ,"42"" SS SCREEN DOORS           ",.00                      
4103 ,Majestic Units                ,DUZY2LS-18/24                      ,DUZY 2 LOGS-FIBER FOR RB18-24 ,1.00                     
4103 ,Majestic Units                ,DUZY2LS-30                         ,DUZY 2 LOGS-FIBER FOR RB-30   ,.00                      
4103 ,Majestic Units                ,DUZY3LS-18/24                      ,DUZY 3 LOGS-REFR FOR RB-18-24 ,6.00                     
4103 ,Majestic Units                ,DUZY3LS-30                         ,DUZY 3 LOGS-REFR RB-30        ,1.00                     
4103 ,Majestic Units                ,DUZY5LS-18/24                      ,DUZY 5 LOGS-FIBER FOR RB-18-24,4.00                     
4103 ,Majestic Units                ,DUZY5LS-30                         ,DUZY 5 LOGS-FIBER FOR RB-30   ,3.00                     
4103 ,Majestic Units                ,DVLINEAR36                         ,"36"" NG DV LINEAR W/FRONT&GLASS",2.00                     
4103 ,Majestic Units                ,ECHEL36IN-C                        ,"36"" NG DV TV IPI FPLC ECH     ",2.00                     
4103 ,Majestic Units                ,ECHEL36STIN-C                      ,"36""NG DV TV IPI S/T FPLC ECH  ",2.00                     
4103 ,Majestic Units                ,ECHEL48IN-C                        ,"48"" NG DV TV IPI FPLC ECHELON ",2.00                     
4103 ,Majestic Units                ,ECHEL48STIN-C                      ,"48""NG DV TV IPI S/T FPLC ECH  ",1.00                     
4103 ,Majestic Units                ,ECHEL60IN-C                        ,"60"" NG DV TV IPI FPLC ECHEL   ",2.00                     
4103 ,Majestic Units                ,ECHEL72IN-C                        ,"72"" NG DV TV IPI FPLC ECHEL   ",2.00                     
4103 ,Majestic Units                ,FSO18                              ,"18"" SUPREME OAK LOG SET, CEMNT",7.00                     
4103 ,Majestic Units                ,FSO24                              ,"24"" SUPREME OAK LOG SET, CEMNT",5.00                     
4103 ,Majestic Units                ,FSO30                              ,"30"" SUPREME OAK LOG SET, CEMNT",3.00                     
4103 ,Majestic Units                ,GO24                               ,"24"" GRAND OAK LOG SET, 2 TIER ",4.00                     
4103 ,Majestic Units                ,GO24-IPI-LP-HK                     ,"24"" IPI LP GO 2 TIER BRNR/KIT ",4.00                     
4103 ,Majestic Units                ,GO24-IPI-NG-HK                     ,"24"" IPI NG GO 2 TIER BRNR/KIT ",1.00                     
4103 ,Majestic Units                ,GO30                               ,"30"" GRAND OAK LOG SET, 2 TIER ",2.00                     
4103 ,Majestic Units                ,GO30-IPI-LP-HK                     ,"30"" IPI LP GRAND OAK BRNR/KIT ",2.00                     
4103 ,Majestic Units                ,GO30-IPI-NG-HK                     ,"30"" IPI NG GRAND OAK BRNR/KIT ",2.00                     
4103 ,Majestic Units                ,GO318                              ,"18"" GRAND OAK LOG SET, 3 TIER ",4.00                     
4103 ,Majestic Units                ,GO318-IPI-LP-HK                    ,"30"" IPI LP GO 3 TIER BRNR/KIT ",3.00                     
4103 ,Majestic Units                ,GO318-IPI-NG-HK                    ,"30"" IPI NG GO 3 TIER BRNR/KIT ",1.00                     
4103 ,Majestic Units                ,GO324                              ,"24"" GRAND OAK LOG SET, 3 TIER ",2.00                     
4103 ,Majestic Units                ,GO324-IPI-LP-HK                    ,"24"" IPI LP GO 3 TIER BRNR/KIT ",2.00                     
4103 ,Majestic Units                ,GO324-IPI-NG-HK                    ,"24"" IPI NG GO 3 TIER BRNR/KIT ",3.00                     
4103 ,Majestic Units                ,GO330                              ,"30"" GRAND OAK LOG SET, 3 TIER ",.00                      
4103 ,Majestic Units                ,GO330-IPI-LP-HK                    ,"30"" IPI LP GO 3 TIER BRNR/KIT ",.00                      
4103 ,Majestic Units                ,GO330-IPI-NG-HK                    ,"30"" IPI NG GO 3 TIER BRNR/KIT ",2.00                     
4103 ,Majestic Units                ,HHT-MISC                           ,HHT MISC                      ,.00                      
4103 ,Majestic Units                ,JADE32IN-B                         ,"32"" NG DV LINEAR FPLACE IPI   ",4.00                     
4103 ,Majestic Units                ,JADE42IL-B                         ,"42"" LP DV LINEAR FPLACE IPI   ",3.00                     
4103 ,Majestic Units                ,JADE42IN-B                         ,"42"" NG DV LINEAR FPLACE IPI   ",7.00                     
4103 ,Majestic Units                ,JASPER30IN                         ,NG DV MD GAS INSERT IPI       ,1.00                     
4103 ,Majestic Units                ,LCOR-DV36IN                        ,"36""NG LEFT CRNR DV T/R FPLC   ",-1.00                    
4103 ,Majestic Units                ,MARQ36IN-B                         ,"36""NG TV IPI CF FPLC MARQUIS  ",1.00                     
4103 ,Majestic Units                ,MARQ42IN-B                         ,"42""NG TV IPI CF FPLC MARQUIS  ",3.00                     
4103 ,Majestic Units                ,MARQ42STIN                         ,"42""NG TV IPI CF S/T MARQUIS 2 ",1.00                     
4103 ,Majestic Units                ,MERC32IN                           ,"32"" NG DV IPI FPLC MERCURY    ",3.00                     
4103 ,Majestic Units                ,MERIDPLA36IL                       ,"36""LP T/R DV IPI FPLC MERID***",.00                      
